market,month,year,quantity,priceMin,priceMax,priceMod,state,city,date
AGRA(UP),January,2012,59900,661,755,715,UP,AGRA,January-2012
AGRA(UP),January,2013,64940,1238,1349,1292,UP,AGRA,January-2013
AGRA(UP),January,2014,143920,1102,1246,1200,UP,AGRA,January-2014
AGRA(UP),January,2015,64990,1587,1746,1693,UP,AGRA,January-2015
AGRA(UP),January,2016,134200,1039,1443,1349,UP,AGRA,January-2016
AGRA(UP),February,2008,84200,320,407,354,UP,AGRA,February-2008
AGRA(UP),February,2009,36900,997,1078,1043,UP,AGRA,February-2009
AGRA(UP),February,2010,52580,1189,1321,1256,UP,AGRA,February-2010
AGRA(UP),February,2011,44110,1287,1424,1371,UP,AGRA,February-2011
AGRA(UP),February,2012,62410,602,709,653,UP,AGRA,February-2012
AGRA(UP),February,2013,47690,1656,1799,1746,UP,AGRA,February-2013
AGRA(UP),February,2014,96950,1111,1225,1177,UP,AGRA,February-2014
AGRA(UP),February,2015,56004,1476,1633,1583,UP,AGRA,February-2015
AGRA(UP),February,2016,124508,895,1220,1130,UP,AGRA,February-2016
AGRA(UP),March,2008,47550,375,470,423,UP,AGRA,March-2008
AGRA(UP),March,2009,43600,1056,1157,1096,UP,AGRA,March-2009
AGRA(UP),March,2010,67050,1163,1254,1205,UP,AGRA,March-2010
AGRA(UP),March,2011,51810,797,906,877,UP,AGRA,March-2011
AGRA(UP),March,2012,64175,611,708,658,UP,AGRA,March-2012
AGRA(UP),March,2013,71945,1256,1352,1305,UP,AGRA,March-2013
AGRA(UP),March,2014,100060,1048,1189,1146,UP,AGRA,March-2014
AGRA(UP),March,2015,56330,1660,1799,1750,UP,AGRA,March-2015
AGRA(UP),March,2016,120500,750,1085,1011,UP,AGRA,March-2016
AGRA(UP),April,2008,42650,385,469,418,UP,AGRA,April-2008
AGRA(UP),April,2009,81100,691,776,747,UP,AGRA,April-2009
AGRA(UP),April,2010,106690,714,822,779,UP,AGRA,April-2010
AGRA(UP),April,2011,47870,631,705,673,UP,AGRA,April-2011
AGRA(UP),April,2012,67000,615,688,650,UP,AGRA,April-2012
AGRA(UP),April,2013,93980,1142,1215,1176,UP,AGRA,April-2013
AGRA(UP),April,2014,60150,1058,1182,1147,UP,AGRA,April-2014
AGRA(UP),April,2015,63800,1367,1561,1506,UP,AGRA,April-2015
AGRA(UP),April,2016,99700,697,1020,957,UP,AGRA,April-2016
AGRA(UP),May,2008,69900,300,367,328,UP,AGRA,May-2008
AGRA(UP),May,2009,79860,629,707,680,UP,AGRA,May-2009
AGRA(UP),May,2010,97650,568,705,661,UP,AGRA,May-2010
AGRA(UP),May,2011,90900,573,652,615,UP,AGRA,May-2011
AGRA(UP),May,2012,83300,566,645,608,UP,AGRA,May-2012
AGRA(UP),May,2013,79860,1015,1090,1055,UP,AGRA,May-2013
AGRA(UP),May,2014,41045,1073,1190,1156,UP,AGRA,May-2014
AGRA(UP),May,2015,79030,1265,1392,1346,UP,AGRA,May-2015
AGRA(UP),May,2016,124400,760,986,885,UP,AGRA,May-2016
AGRA(UP),June,2008,87860,313,365,341,UP,AGRA,June-2008
AGRA(UP),June,2009,105372,552,642,609,UP,AGRA,June-2009
AGRA(UP),June,2010,86710,626,714,680,UP,AGRA,June-2010
AGRA(UP),June,2011,72450,507,619,562,UP,AGRA,June-2011
AGRA(UP),June,2012,48340,541,620,583,UP,AGRA,June-2012
AGRA(UP),June,2013,71440,1005,1080,1047,UP,AGRA,June-2013
AGRA(UP),June,2014,36960,1068,1206,1172,UP,AGRA,June-2014
AGRA(UP),June,2015,89880,1432,1666,1623,UP,AGRA,June-2015
AGRA(UP),June,2016,113750,864,1068,970,UP,AGRA,June-2016
AGRA(UP),July,2008,58290,444,555,495,UP,AGRA,July-2008
AGRA(UP),July,2009,78750,639,748,679,UP,AGRA,July-2009
AGRA(UP),July,2010,72110,772,888,846,UP,AGRA,July-2010
AGRA(UP),July,2011,46270,751,851,808,UP,AGRA,July-2011
AGRA(UP),July,2012,70690,666,754,716,UP,AGRA,July-2012
AGRA(UP),July,2013,36280,1601,1716,1652,UP,AGRA,July-2013
AGRA(UP),July,2014,22490,1677,1888,1846,UP,AGRA,July-2014
AGRA(UP),July,2015,65450,1979,2364,2275,UP,AGRA,July-2015
AGRA(UP),July,2016,106550,875,1051,984,UP,AGRA,July-2016
AGRA(UP),August,2008,20300,622,768,719,UP,AGRA,August-2008
AGRA(UP),August,2009,39180,734,831,783,UP,AGRA,August-2009
AGRA(UP),August,2010,67390,818,942,891,UP,AGRA,August-2010
AGRA(UP),August,2011,33400,947,1047,1003,UP,AGRA,August-2011
AGRA(UP),August,2012,71320,722,821,775,UP,AGRA,August-2012
AGRA(UP),August,2013,18270,3225,3513,3365,UP,AGRA,August-2013
AGRA(UP),August,2014,45420,1625,1862,1802,UP,AGRA,August-2014
AGRA(UP),August,2015,39030,2948,3464,3283,UP,AGRA,August-2015
AGRA(UP),August,2016,133050,842,1007,903,UP,AGRA,August-2016
AGRA(UP),September,2008,36930,653,925,843,UP,AGRA,September-2008
AGRA(UP),September,2009,35706,810,901,851,UP,AGRA,September-2009
AGRA(UP),September,2010,43055,1147,1272,1213,UP,AGRA,September-2010
AGRA(UP),September,2011,20200,1240,1394,1331,UP,AGRA,September-2011
AGRA(UP),September,2012,65360,726,808,766,UP,AGRA,September-2012
AGRA(UP),September,2013,30740,4098,4357,4225,UP,AGRA,September-2013
AGRA(UP),September,2014,46042,1539,1770,1675,UP,AGRA,September-2014
AGRA(UP),September,2015,31830,3500,4468,4318,UP,AGRA,September-2015
AGRA(UP),September,2016,147220,753,992,900,UP,AGRA,September-2016
AGRA(UP),October,2008,35165,775,891,847,UP,AGRA,October-2008
AGRA(UP),October,2009,29050,1198,1343,1272,UP,AGRA,October-2009
AGRA(UP),October,2010,38920,1327,1492,1411,UP,AGRA,October-2010
AGRA(UP),October,2011,30720,1330,1433,1381,UP,AGRA,October-2011
AGRA(UP),October,2012,51748,781,874,827,UP,AGRA,October-2012
